['বিশ্বে', 'পাগলামি', 'উমর', 'ভুয়ো', 'অপরাধ', 'মণ্ডলের', 'পড়লে', 'ভাইকে', 'লঞ্চ', 'রানওয়ে']
['অজু', 'নির্বিকার', 'বসুন্ধরা', 'স্বস্তি', 'উদ্দিন', 'রুমা', 'ফুরফুরে', 'অনা', 'টেকে', 'এটা']
['রুমা', 'অজু', 'ফুরফুরে', 'উদ্দিন', 'এটা', 'অনা', 'স্পোর্টিং', 'মারমা', 'অনতি', 'একদমই']
['রুমা', 'এটা', 'ফুরফুরে', 'স্পোর্টিং', 'উদ্দিন', 'অনতি', 'মারমা', 'অনা', 'অজু', 'একদমই']
['উপকারিতা', 'হৃদিতা', 'নিকিতা', 'প্রতিবন্ধিতা', 'আলাপচারিতা', 'অবন্তিকা', 'নারিতা', 'আদ্রিতা', 'কন্ডিশন', 'ইশিতা']
['ফুরফুরে', 'এটা', 'রুমা', 'স্পোর্টিং', 'একাত্ম', 'উদ্দিন', 'অজু', 'ন্যায্য', 'একদমই', 'অনতি']
['স্পোর্টিং', 'এতদূর', 'অনতি', 'ফুলিয়ে', 'সবটুকু', 'ঝিরি', 'গোলের', 'নির্দ্বিধায়', 'বেধ', 'বিনোদন']
['কুৎসিত', 'হাস্যকর', 'বাইর', 'সুশীল', 'চাইতেই', 'অপমান', 'বিদেশী', 'লব', 'ট্রাইব্যুনালে', 'উৎসব']
['', '', '', '', '', '', '', '', '', '']
['কৃতজ্ঞ', 'রাখিস', '৫ম', 'ব্যাপক', 'লাইব্রেরী', 'বেডের', 'হয়না', 'আম্মুকে', 'বৃহত্তম', 'হাসিনাকে']
['অজু', 'উদ্দিন', 'রুমা', 'বসুন্ধরা', 'ফুরফুরে', 'মারমা', 'অনা', 'নির্বিকার', 'এটা', 'স্বস্তি']
['অজু', 'রুমা', 'উদ্দিন', 'এটা', 'ফুরফুরে', 'মারমা', 'বসুন্ধরা', 'অনা', 'ন্যায্য', 'টেকে']
['পরোক্ষভাবে', 'ওয়াও', 'দিনও', 'দিব', 'ফায়ার', 'ড্রয়িং', 'টাকাটা', 'রাফি', 'মানি', 'ঢাল']
['গরিষ্ঠ', 'বরিষ্ঠ', 'বিশিষ্ঠ', 'সন্তষ্ট', 'ঘোরতর', 'শষ্য', 'গুণাঙ্ক', 'শীতলতর', 'ক্ষুদ্রতর', 'ডেবিট']
['খ্যাতি', 'চাপে', 'ব্যাটালিয়নের', 'ঝর্ণা', 'কোথায়', 'মিলবে', 'মধ্য', 'মধ\u200d্য', 'কিন', 'কনভেনশন']
['অজু', 'স্বস্তি', 'বসুন্ধরা', 'নিচ', 'কিট', 'টেকে', 'নির্বিকার', 'কীসের', 'ট্রিটমেন্ট', 'লাইভ']
['গঞ্জনা', 'ডালনা', 'কলিনা', 'ডায়না', 'বেচাকেনা', 'জালনা', 'পলিনা', 'মালেনা', 'রাবনা', 'খরনা']
['গরল', 'লইল', 'সিকল', 'সুবিল', 'থ্রিল', 'কমাল', 'কনেল', 'পালাল', 'কারল', 'শিখেছিল']
['গৌণ', 'বহণ', 'অতিক্রমণ', 'কৃষ্ণণ', 'সংক্ষেপণ', 'সারণ', 'নির্মণ', 'তোরণ', 'গমণ', 'বিস্তারণ']
['এটা', 'ফুরফুরে', 'স্পোর্টিং', 'রুমা', 'উদ্দিন', 'অনতি', 'অজু', 'ফুলিয়ে', 'একাত্ম', 'একদমই']
['অর্থনৈতিকভাবে', '২০টি', 'ড্রিম', 'যেকোনো', 'ভাবলেই', 'গ্রুপের', 'উজান', 'গভীরতা', 'দূরেই', 'ধারক']
['সাঁওতাল', 'করবেই', 'ফোকাস', 'বিজিবির', 'নুর', 'ফায়ার', 'বিসর্জন', 'সরি', 'কতটুকু', 'ড্রয়িং']
['ঠুনকো', 'কীর্ণাহার', 'কস্তুরী', 'মেস্কিটো', 'মালুরিডি', 'সিন্যাপটিক', 'বিকিকিনি', 'গড়িমসি', 'ভাট্টাল', 'বোস্তামি']
['হাসিখুশি', 'স্পোর্টিং', 'অনতি', 'ফুলিয়ে', 'দমবন্ধ', 'এতদূর', 'কোনোভাবে', 'মিসরের', 'ক্ষোভের', 'ভীষণভাবে']
['দুর্নাম', 'বয়াম', 'আইয়াম', 'মোকাম', 'ইথান', 'সেলাম', 'ইয়াহান', 'জাফরান', 'হিসাম', 'খারান']
['দুর্ভাগ্য', 'ছেলেটি', 'গেট', 'সম্ভ্রম', 'ডাল', 'বেসরকারী', 'ইনস্টাগ্রামে', 'কাস্টমস', 'দাদাভাই', 'গ্রহণ']
['শরীফের', 'দেশী', 'দ্রুতই', 'গ্রো', 'বিরোধীরা', 'ভবিষ্যতে', 'ডালে', 'নগরীর', 'ঈদগাহ', 'সিয়াম']
['ধূর্ত', 'ইকবালের', 'জোটের', 'ভেবে', 'নেতাদের', 'রাজনীতির', 'অপরের', 'বন্দুকযুদ্ধে', 'চিরকালই', 'গাওয়ার']
['অজু', 'নির্বিকার', 'অনা', 'উদ্দিন', 'ফুরফুরে', 'রুমা', 'স্বস্তি', 'এটা', 'মারমা', 'একদমই']
['সারাজ', 'দোষী', 'চাহনি', 'মিষ্ট', 'উসকে', 'মনোনিবেশ', 'স্যালুট', 'ফারহান', 'ফয়সাল', 'করিবে']
['ধনাত্মক', 'পরিত্যাক্ত', 'আক্রমনাত্মক', 'নিউট্রিয়াল', 'পুরুষাঙ্গ', 'ফ্রেন্ডশিপ', 'আইনজ্ঞ', 'প্রাজ্ঞ', 'নস্কর', 'ক্রিটিকাল']
['নতুন', 'প্রতি', 'আমি', 'তাঁহারা', 'রাখলে', 'সঙ্গে', 'স\u200cঙ্গে', 'আব্দুর', 'ক্যাপিটাল', 'ভিত্তিক']
['নশ্বর', 'দিল্লীশ্বর', 'দক্ষিণেশ্বর', 'কমলেশ্বর', 'বিশ্বেশ্বর', 'জ্ঞানেশ্বর', 'অ্যাকর্ড', 'কপালেশ্বর', 'ডুয়েল', 'বটেশ্বর']
['নিরস', 'কেবলস', 'মরিস', 'প্রতিভাস', 'মনস', 'বলস', 'পালাস', 'দেওয়াস', 'দিয়াস', 'মেলেস']
['মিথ্যা', 'অনিন্দ', 'বলিব', 'ছল', 'তৃণমূলের', 'এতোটাই', 'টাউন', 'তিনিও', 'বর্ষ', 'ভাতিজা']
['দীর্ঘদিন', 'বড়লোক', 'ভাবলেই', 'দূরেই', '২০টি', 'ড্রিম', 'ব্যালেন্স', 'গভীরতা', 'অর্থনৈতিকভাবে', 'ঈদুল']
['নির্বিঘ্নে', 'তথ্যমন্ত্রী', 'ডেঙ্গু', 'ডুম', 'আমাদেরই', 'নিরস্ত্র', 'বলেনি', 'নয়ই', 'পূর্ণতা', 'সাঁওতাল']
['নির্বিঘ্নে', 'নির্বিকার', 'স্বস্তি', 'অজু', 'বসুন্ধরা', 'ডেঙ্গু', 'লাইভ', 'স্বত', 'টেকে', 'আমাদেরই']
['নির্বিঘ্নে', 'স্বস্তি', 'ডেঙ্গু', 'বসুন্ধরা', 'নির্বিকার', 'আমাদেরই', 'লাইভ', 'অনুভূতি', 'পূর্ণতা', 'হালুয়া']
['নিঃসন্দেহে', 'করবেই', 'ঈদুল', 'তথ্যমন্ত্রী', 'ড্রিংক', 'নিরস্ত্র', 'ডুম', 'উদ্দীপনা', 'বিসর্জন', 'চারিদিক']
['রুমা', 'এটা', 'ফুরফুরে', 'অজু', 'উদ্দিন', 'ন্যায্য', 'মারমা', 'একাত্ম', 'স্পোর্টিং', 'অনা']
['ধনী', 'রক্ষায়', 'সিট', 'সাজাপ্রাপ্ত', 'বলেছিলে', 'শুনেছিলাম', 'বৈধতা', 'অনুভূতিতে', 'একদিন', 'বাড়ল']
['স্পোর্টিং', 'এটা', 'রুমা', 'অনতি', 'ফুরফুরে', 'ফুলিয়ে', 'একদমই', 'ঝিরি', 'এতদূর', 'একাত্ম']
['ফুরফুরে', 'এটা', 'রুমা', 'স্পোর্টিং', 'উদ্দিন', 'একাত্ম', 'অনতি', 'একদমই', 'অজু', 'অনা']
['নিরাপদ', 'ঝুঁকিপূর্ণ', 'পর্যবেক্ষণে', 'গোলাপি', 'বীর', 'প্রতিনিয়ত', 'শেষমেষ', 'এবছর', 'বর্তমানে', 'বর্তমা\u200cনে']
['নির্বিঘ্নে', 'আমাদেরই', 'ডেঙ্গু', 'নয়ই', 'ধর্মনিরপেক্ষ', 'উচ্চতার', 'নিরস্ত্র', 'স্পিড', 'বাহবা', 'বিভিন্নভাবে']
['অজু', 'ফুরফুরে', 'রুমা', 'উদ্দিন', 'এটা', 'অনা', 'ন্যায্য', 'টেকে', 'নির্বিকার', 'বসুন্ধরা']
['ভাবলেই', '২০টি', 'ভ্যাল', 'অর্থনৈতিকভাবে', 'ব্যালেন্স', 'গভীরতা', 'ড্রিম', 'কোয়ার্টারে', 'বেটার', 'ছাত্রীদের']
['বসুন্ধরা', 'লাইভ', 'নির্বিঘ্নে', 'স্বস্তি', 'ডেঙ্গু', 'হালুয়া', 'বেগুন', 'যাইবে', 'নিচ', 'অজু']
['ভিজা', 'আস্তা', 'জানো', 'শাসা', 'রমিজা', 'চুকা', 'বাঙালা', 'বানানা', 'কুণ্ঠা', 'ইতালিয়ানা']
['স্বস্তি', 'নির্বিকার', 'অজু', 'বসুন্ধরা', 'কীসের', 'কিট', 'নির্বিঘ্নে', 'নিচ', 'লাইভ', 'যাইবে']
['কোনোভাবে', 'স্পীড', 'হাসিখুশি', 'কনসার্ট', 'এতোটা', 'তাঁদেরও', 'ছক্কা', 'দমবন্ধ', 'নাহয়', 'মিসরের']
['আঁটসাঁট', 'মচমচে', 'কালীপ্রসন্ন', 'অনৈচ্ছিক', 'মোহাইমিনুল', 'উপঢৌকন', 'সর্বজনশ্রদ্ধেয়', 'অজাতশত্রু', 'উলুধ্বনি', 'সমস্যাসঙ্কুল']
['ভালো', 'ভা\u200cলো', 'পাবলিক', 'ডাক্তারদের', 'পরেছে', 'একদিন', 'সিট', 'প্রজন্ম', 'আছে', 'আ\u200cছে']
['নিঃসন্দেহে', 'ঈদুল', 'করবেই', 'দীর্ঘদিন', 'তথ্যমন্ত্রী', 'ড্রিংক', 'ডুম', 'চারিদিক', 'নিরস্ত্র', 'চালিয়েছিল']
['নির্বিঘ্নে', 'নির্বিকার', 'স্বস্তি', 'অজু', 'বসুন্ধরা', 'ডেঙ্গু', 'লাইভ', 'স্বত', 'টেকে', 'আমাদেরই']
['নগরীর', 'কতটা', 'শরীফের', 'উপরেই', 'পাওয়ার', 'নামক', 'মাধ্যমিক', 'ভবিষ্যতে', 'মরিচের', 'ব্যবসায়ীর']
