['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'পেয়েছেন', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['মানববন্ধনসহ', 'আছিয়া', 'ওয়েম্বলিতে', 'কলেজসহ', 'ইনস্টিটিউটসহ', 'সাহিত্যধারার', 'শৃঙ্গগুলি', 'ইনামুল', 'ডিসকারাস', 'আহমদসহ']
['১৯০৫', '১৯৮৬', 'পৃষ্ঠায়', 'মৌলবাদী', 'জমিদারের', 'পশ্চিমা', 'অনুষদ', '২১', 'হাবীব', 'রহিত']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'কেন্দ্রিকতাবাদ', 'জটায়ু', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'সুশোভন']
['বুনিয়াদ', 'সূচকীকরণ', 'অন্তরীকরণ', 'আসপাস', 'আস্তাবল', 'স্মরণাপন্ন', 'কুতিনহো', 'দূরীকরণ', 'জেরুজালেম', 'আর্যীকরণ']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['ঘরামী', 'দুঃসাহসিক', 'হুবার্ট', 'অ্যাপার্ট', 'বিবেচন', 'ডানায়িনি', 'নাট্যাচার্য', 'হাতেগোনা', 'পাটাতন', 'ইম্পালা']
['বিকর্ষণ', 'নিবন্ধীকরণ', 'জাহাজীকরণ', 'উদ্ভোদন', 'ভ্রাতৃত্ব', 'উদ্ভোধন', 'জেরুজালেম', 'পঞ্জীকরণ', 'সুশোভন', 'আয়নীকরণ']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'কেন্দ্রিকতাবাদ', 'জটায়ু', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'সুশোভন']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'সুশোভন']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'কেন্দ্রিকতাবাদ', 'উষ্ণায়ন', 'বিরুদ্ধাচার', 'জটায়ু', 'সুশোভন', 'অশোভন']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জাহাজীকরণ', 'কেন্দ্রিকতাবাদ', 'নিবন্ধীকরণ', 'উষ্ণায়ন', 'সুশোভন', 'জীবনাচার', 'উদ্ভোধন']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'কেন্দ্রিকতাবাদ', 'উষ্ণায়ন', 'সুশোভন', 'বিরুদ্ধাচার', 'অশোভন', 'জটায়ু']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['কনসালটিং', 'উদ্ভোধনী', 'পুরোহিত', 'কন্সার্ট', 'রক্তবাহ', 'স্মৃতিচারণামূলক', 'ঘরামী', 'পাটাতন', 'নির্জীব', 'হুবার্ট']
['মানববন্ধনসহ', 'কমান্ডারসহ', 'আহমদসহ', 'রক্সের', 'কলেজসহ', 'বাংলাদেশিসহ', 'ইসলামিসহ', 'আছিয়া', 'তেরিয়ান', 'ওনার্সের']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'জটায়ু', 'কেন্দ্রিকতাবাদ', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'লোকাচার']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'কেন্দ্রিকতাবাদ', 'জটায়ু', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'সুশোভন']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'কেন্দ্রিকতাবাদ', 'উষ্ণায়ন', 'সুশোভন', 'বিরুদ্ধাচার', 'জটায়ু', 'অশোভন']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'কেন্দ্রিকতাবাদ', 'জটায়ু', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'সুশোভন']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'কেন্দ্রিকতাবাদ', 'জটায়ু', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'সুশোভন']
['মুহাম্মদ', 'বরং', 'প্রত্যাশার', 'দিতো', 'ফুচকা', 'ধর্ম', 'ফেডারেল', 'দিতেও', 'ভোক্তা', 'নিজেই']
['বিকর্ষণ', 'ভ্রাতৃত্ব', 'প্রত্যর্পণ', 'জীবনাচার', 'কেন্দ্রিকতাবাদ', 'জটায়ু', 'বিরুদ্ধাচার', 'উষ্ণায়ন', 'অশোভন', 'সুশোভন']
['১৯০৫', '১৯৮৬', 'হাবীব', 'মৌলবাদী', 'জমিদারের', 'হাবিল', 'و', 'ফাউ', 'যুদ্ধাপরাধী', 'পশ্চিমা']
['অতীত', 'লজ্জার', 'লিখব', 'ভয়ে', 'পঠিত', 'ভাববে', 'জেল', 'মঞ্চ', 'বুঝলাম', '08']
['চুরমার', 'পুরুষেরা', 'ছেলেটিকে', 'স্তব্ধ', 'তিশা', 'আবিদ', 'খর', 'সাখাওয়াত', 'মিঠু', 'সচ']
['লিনাক্স', 'হরণ', 'পার্শ্বে', 'যাতায়াত', 'সুহাস', 'এইটুকু', 'সেটিও', 'সমাগম', 'ব্রাত্য', 'অবরুদ্ধ']
['আজ', 'অনুপস্থিতিতে', 'ভালই', 'দফতরে', 'এতই', 'মেয়াদি', 'দিনটা', 'করল', 'বিল্ডিং', 'মাজার']
['আদি', 'আর', 'দেখে', 'দেখিয়া', 'পাবেন', 'পড়ছে', 'পদক্ষেপে', 'সদস্য', 'সদস\u200d্য', 'চাইলেও']
['মন্ত্রণালয়ে', 'ইমো', 'ঘনিয়ে', 'নেভ', 'সমার', 'সাদিয়া', 'একটু', 'জুন', 'নফল', 'একুশ']
['আরোহন', 'এরান', 'নাহিন', 'থেরন', 'এক্সন', 'ফিনিন', 'মার্ন', 'খিলান', 'ইলেক্ট্রন', 'ব্রায়ন']
['মাইলফলক', 'শত', 'পর্ণ', 'ঘেঁষে', 'অপরিবর্তিত', 'স্বাভাবিক', 'মঈন', 'মৌখিক', 'ব্যাকগ্রাউন্ড', 'অর্জনে']
['আশীর্বাদ', 'চুলগুলো', 'সো', 'উনিও', 'জবাব', 'অসময়ে', 'পেস্ট', 'বুঝলেন', 'দ্বিপক্ষীয়', 'ৰ']
['আসামিদের', 'প্রাপ্য', 'তিনজনকে', 'বাংলাকে', 'ভীতি', 'কানাচে', 'হাসবে', 'আমারো', 'বহিঃপ্রকাশ', 'আমারও']
['ইহকাল', 'সংক্ষিপ্তকাল', 'সূচনাকাল', 'স্থাপনকাল', 'মেয়াদকাল', 'সমাপ্তিকাল', 'প্রজননকাল', 'বিরতিকাল', 'প্যাসকাল', 'জমকাল']
['যাইবে', 'ইন্সটল', 'বেগুন', 'সিংহভাগ', 'দেশেই', 'ভেতরের', 'লাউ', 'চলেই', 'হালুয়া', 'সেচ']
['', '', '', '', '', '', '', '', '', '']
['উত্থান', 'অস্বাভাবিক', 'ভেদা', 'থেমে', 'ওয়ার্ন', 'নর', 'মাইরা', 'করিবে', 'চান্দ', 'ক্ষমতার']
['মুখেও', 'রোম্যান', 'লং', 'নাচে', 'মইন', 'তোপ', 'অপার্থিব', 'ওয়ার্নার', 'ঠিকমত', 'পাঞ্চ']
