['বাগদাদ', 'মিশর', 'সিরিয়া', 'আনাতোলিয়া', 'মেসোপটেমিয়া', 'পারস্য', 'বুখারা', 'খোরাসান', 'আলেপ্পো', 'বসরা']
['সুইজারল্যান্ড', 'বার্লিন', 'ইতালি', 'জার্মানি', 'সুইডেন', 'পেরু', 'নরওয়ে', 'বেলজিয়াম', 'ফ্রান্স', 'মস্কো']
['মিশর', 'লিবিয়া', 'রাশিয়া', 'আলজেরিয়া', 'তুরস্ক', 'সিরিয়া', 'বুলগেরিয়া', 'স্পেন', 'ইথিওপিয়া', 'কম্বোডিয়া']
['মিশর', 'রাশিয়া', 'লিবিয়া', 'সিরিয়া', 'আলজেরিয়া', 'তুরস্ক', 'কম্বোডিয়া', 'চীন', 'ইথিওপিয়া', 'বুলগেরিয়া']
['মিশর', 'রাশিয়া', 'লিবিয়া', 'সিরিয়া', 'আলজেরিয়া', 'তুরস্ক', 'বুলগেরিয়া', 'স্পেন', 'গ্রীস', 'গ্রিস']
['মিশর', 'রাশিয়া', 'লিবিয়া', 'তুরস্ক', 'সিরিয়া', 'আলজেরিয়া', 'বুলগেরিয়া', 'সার্বিয়া', 'গ্রীস', 'গ্রিস']
['মিশর', 'আফগানিস্তান', 'ইরান', 'তুরস্ক', 'লিবিয়া', 'সিরিয়া', 'ইরাক', 'আলজেরিয়া', 'কম্বোডিয়া', 'মিসর']
['মিশর', 'সিরিয়া', 'ইরাক', 'ইরান', 'আফগানিস্তান', 'মিসর', 'লিবিয়া', 'তুরস্ক', 'পারস্য', 'আনাতোলিয়া']
['ফ্রান্স', 'ইতালি', 'স্পেন', 'মিশর', 'জার্মানি', 'জাপান', 'সুইডেন', 'ব্রিটেন', 'যুক্তরাজ্য', 'ইউরোপ']
['স্পেন', 'পর্তুগাল', 'মাদ্রিদ', 'মিশর', 'বেলজিয়াম', 'ফ্রান্স', 'ইতালি', 'রাশিয়া', 'ব্রাজিল', 'বুলগেরিয়া']
['মিশর', 'রাশিয়া', 'ফ্রান্স', 'ইতালি', 'স্পেন', 'পোল্যান্ড', 'বুলগেরিয়া', 'বেলজিয়াম', 'জার্মানি', 'জাপান']
['মিশর', 'রাশিয়া', 'সিরিয়া', 'তুরস্ক', 'লিবিয়া', 'ইরাক', 'আলজেরিয়া', 'বুলগেরিয়া', 'ইথিওপিয়া', 'ইরান']
['মিশর', 'রাশিয়া', 'লিবিয়া', 'সিরিয়া', 'তুরস্ক', 'আলজেরিয়া', 'ইরাক', 'চীন', 'ইথিওপিয়া', 'বুলগেরিয়া']
['ফ্রান্স', 'মিশর', 'ইতালি', 'ব্রিটেন', 'স্পেন', 'রাশিয়া', 'জার্মানি', 'অস্ট্রিয়া', 'সুইডেন', 'বেলজিয়াম']
['মিশর', 'মেসোপটেমিয়া', 'সিরিয়া', 'গ্রিস', 'রোম', 'লিবিয়া', 'গ্রীস', 'রাশিয়া', 'তুরস্ক', 'স্পেন']
['মিশর', 'রাশিয়া', 'লিবিয়া', 'আলজেরিয়া', 'তুরস্ক', 'স্পেন', 'ইথিওপিয়া', 'সিরিয়া', 'বুলগেরিয়া', 'গ্রিস']
['মিশর', 'সিরিয়া', 'লিবিয়া', 'ইরান', 'ইরাক', 'তুরস্ক', 'রাশিয়া', 'মিসর', 'আলজেরিয়া', 'আফগানিস্তান']
['মিশর', 'রাশিয়া', 'জাপান', 'চীন', 'ফ্রান্স', 'তাইওয়ান', 'ইতালি', 'কম্বোডিয়া', 'তুরস্ক', 'স্পেন']
['মিশর', 'রাশিয়া', 'গ্রিস', 'সিরিয়া', 'লিবিয়া', 'বুলগেরিয়া', 'স্পেন', 'মেসোপটেমিয়া', 'গ্রীস', 'তুরস্ক']
['মিসর', 'মিশর', 'বাগদাদ', 'সিরিয়া', 'বুখারা', 'বসরা', 'ইরাক', 'খোরাসানে', 'সমরকন্দ', 'মঙ্গোলদের']
['মিশর', 'কম্বোডিয়া', 'রাশিয়া', 'লিবিয়া', 'থাইল্যান্ড', 'তুরস্ক', 'চীন', 'ইথিওপিয়া', 'আলজেরিয়া', 'তাইওয়ান']
['মিশর', 'রাশিয়া', 'কম্বোডিয়া', 'তুরস্ক', 'চীন', 'ইরান', 'ইথিওপিয়া', 'আলজেরিয়া', 'ইতালি', 'মঙ্গোলিয়া']
['মিশর', 'রাশিয়া', 'ফ্রান্স', 'জার্মানি', 'ইতালি', 'জাপান', 'ব্রিটেন', 'চীন', 'বেলজিয়াম', 'পোল্যান্ড']
['মিশর', 'রাশিয়া', 'জাপান', 'ফ্রান্স', 'লিবিয়া', 'চীন', 'বুলগেরিয়া', 'ব্রিটেন', 'কম্বোডিয়া', 'যুক্তরাজ্য']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'আফ্রিকা', 'কেনিয়া', 'নামিবিয়া', 'জ্যামাইকা']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'আয়ারল্যান্ড', 'শ্রীলঙ্কা', 'বার্বাডোস', 'স্কটল্যান্ড', 'জ্যামাইকা']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'আয়ারল্যান্ড', 'শ্রীলঙ্কা', 'বার্বাডোস', 'স্কটল্যান্ড', 'অস্ট্রেলিয়ায়']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'শ্রীলঙ্কা', 'জিম্বাবুয়ে', 'আয়ারল্যান্ড', 'কেনিয়া', 'বার্বাডোস', 'আফ্রিকা', 'কুইন্সল্যান্ড']
['অস্ট্রেলিয়া', 'ইংল্যান্ড', 'নিউজিল্যান্ড', 'শ্রীলঙ্কা', 'জিম্বাবুয়ে', 'আফ্রিকা', 'কেনিয়া', 'আয়ারল্যান্ড', 'আফগানিস্তান', 'জ্যামাইকা']
['অস্ট্রেলিয়া', 'ইংল্যান্ড', 'নিউজিল্যান্ড', 'লন্ডন', 'আফ্রিকা', 'স্কটল্যান্ড', 'আয়ারল্যান্ড', 'মেলবোর্ন', 'কুইন্সল্যান্ড', 'ওয়েলস']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'ব্রাজিল', 'আর্জেন্টিনা', 'জিম্বাবুয়ে', 'মাদ্রিদ', 'আয়ারল্যান্ড', 'স্পেন', 'বার্সেলোনা']
['অস্ট্রেলিয়া', 'ইংল্যান্ড', 'নিউজিল্যান্ড', 'আয়ারল্যান্ড', 'জার্মানি', 'ফ্রান্স', 'ইতালি', 'জিম্বাবুয়ে', 'বেলজিয়াম', 'স্পেন']
['অস্ট্রেলিয়া', 'ইংল্যান্ড', 'নিউজিল্যান্ড', 'জিম্বাবুয়ে', 'আয়ারল্যান্ড', 'আফ্রিকা', 'শ্রীলঙ্কা', 'এমসিসি', 'কেনিয়া', 'স্কটল্যান্ড']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'কেনিয়া', 'বার্বাডোস', 'স্কটল্যান্ড']
['অস্ট্রেলিয়া', 'ইংল্যান্ড', 'নিউজিল্যান্ড', 'ফ্রান্স', 'ইতালি', 'জার্মানি', 'স্পেন', 'লন্ডন', 'কানাডা', 'আফ্রিকা']
['অস্ট্রেলিয়া', 'ইংল্যান্ড', 'নিউজিল্যান্ড', 'স্পেন', 'আফ্রিকা', 'ইতালি', 'ফ্রান্স', 'আয়ারল্যান্ড', 'জার্মানি', 'বেলজিয়াম']
['অস্ট্রেলিয়া', 'ইংল্যান্ড', 'নিউজিল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'আয়ারল্যান্ড', 'শ্রীলঙ্কা', 'স্কটল্যান্ড', 'বার্বাডোস', 'এমসিসি']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'কেনিয়া', 'বার্বাডোস', 'স্কটল্যান্ড']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'কেনিয়া', 'শ্রীলঙ্কা', 'কানাডা', 'জাপান', 'আয়ারল্যান্ড', 'ফ্রান্স', 'তাইওয়ান']
['অস্ট্রেলিয়া', 'ইংল্যান্ড', 'নিউজিল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'আয়ারল্যান্ড', 'শ্রীলঙ্কা', 'স্কটল্যান্ড', 'কেনিয়া', 'নামিবিয়া']
