['ব্র্গ্যাদ', 'গারুদা', 'বাগদাদ', 'বাগদা', 'ব্রিগ', 'গ্রিড', 'ব্রাগা', 'গড়াইয়া', 'গ্রিডের', 'গজরাজ']
['সুইজারল্যান্ড', 'সুইজারল্যান্ডের', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডকে', 'সুইজারল্যান্ডীয়', 'বেইজিংয়ের', 'সোয়াজিল্যান্ডের', 'সোয়াজিল্যান্ড', 'সুইৎজারল্যান্ডে']
['সুইজারল্যান্ড', 'সুইজারল্যান্ডের', 'সুইজারল্যান্ডেই', 'সুইজারল্যান্ডে', 'সুইজারল্যান্ডকে', 'সুইজারল্যান্ডীয়', 'সুইডেন', 'সুইডেনের', 'স্কটল্যান্ডের', 'সুইৎজারল্যান্ডে']
['মিশর', 'মেহ্জাবীন', 'মেহ্\u200cজাবীন', 'মিশ্রের', 'মিশরীয়', 'মাশরেকী', 'মেহ্জাবীনের', 'মুসাব্বির', 'মিশমি', 'মিশরের']
['মিশমি', 'মিশ', 'হ্যানয়', 'হ্যানয়', 'মিশর', 'মিন্নি', 'মিনহাজ', 'হানসি', 'হানশিন', 'হিমনাসিয়া']
['মেহসানা', 'মেহ্জাবীন', 'মেহ্\u200cজাবীন', 'মুসান্না', 'হাভানা', 'মাহজাবীন', 'মুনশিয়ানা', 'মিশর', 'মেহ্জাবীনের', 'মাহানের']
['হেলসিঙ্কি', 'হেলসিঙ্কির', 'হেলসিংকি', 'হেলসিংকির', 'মহেশখালী', 'হেলসিংকিতে', 'হেলসিঙ্কিতে', 'মিনুসিনস্ক', 'মহেশখালীর', 'হাক্সলির']
['ইসলামাবাদ', 'ইসলামাবাদের', 'ইসলামাবাদকে', 'ইসলামাবাদী', 'ইসলামাবাদে', 'মুসলিমাহ', 'মিশর', 'মিসর', 'ইসলাম', 'মিশরের']
['মুসলি', 'মুসলীম', 'মাহবুল', 'মজিবুল', 'মুসুল্লি', 'মুসলেহ', 'মুহিবুল', 'মফস্বলের', 'মিশলাঁ', 'মিশর']
['লন্ডন', 'লন্ডনী', 'লন্ডনি', 'লন্ডনের', 'লন্ডনস্থ', 'লন্ডনভিত্তিক', 'লন্ডনবাসী', 'লন্ডনপ্রবাসী', 'মিশর', 'লন্ডনগামী']
['মাদ্রিদ', 'মাদ্রিদিস্তা', 'মিশর', 'মাদ্রিদের', 'মাদ্রিদই', 'মাদ্রি', 'মাদ্রী', 'মিশরের', 'মোদিজির', 'মাদ্রসা']
['মস্ক', 'মস্কো', 'মস্কোসহ', 'মস্কোয়', 'মস্কোয়', 'মিশর', 'মস্কো', 'মস্কোয়', 'মিনস্কে', 'মিশরের']
['মিশর', 'মিশলাঁ', 'মিশ', 'মুসলি', 'মিসরসহ', 'মুসলীম', 'মিশ্রের', 'মিশরের', 'মিসি', 'মিসাল']
['মিশর', 'মিশরের', 'মিশ', 'মিশমি', 'মিশরে', 'মিশরিয়', 'মিশৌরী', 'মিশরীয়', 'মিসর', 'মিশলাঁ']
['মিশর', 'মিশরের', 'মিসর', 'মিশরে', 'মিসরি', 'প্যারিস', 'মিসরের', 'পারস্য', 'মিশরীয়', 'মিসরে']
['রোমশ', 'রোমীয়', 'মিশমি', 'রোমানের', 'রোম', 'রোমের', 'রোমান', 'রোমানেস্ক', 'রোমানেরা', 'মিশর']
['স্টকহোম', 'স্টকহোমের', 'স্টকহোমে', 'মিশমি', 'স্মিথসোনিয়ান', 'মোস্তাকিম', 'স্ম্যাশ', 'মোস্তাকিমের', 'মিশর', 'মশিউজ্জামান']
['মিশর', 'মিশরের', 'তেহরানের', 'তেহরান', 'মেহরীন', 'তাজরীন', 'মিশ্রের', 'মিসরের', 'মিসর', 'মিহরায']
['মিশর', 'মিশরের', 'মিউনিখ', 'মিউনিখের', 'মিশ', 'মিশমি', 'তুরস্কও', 'মেক্সিকীয়', 'তুরস্ক', 'তিনসুকিয়া']
['এথেন্স', 'এথেন্সের', 'আথেন্স', 'অ্যাথেন্স', 'অ্যাথেন্সের', 'আথেন্সের', 'এথেন্সে', 'অ্যানেস্থেসিয়া', 'এনেস্থেশিয়া', 'অ্যানেস্তেশিয়া']
['মাজিদ', 'bangladesh', 'বাংলাদেশের', 'মুর্শিদাবাদ', 'মাজিদা', 'মুজাদ্দিদ', 'বাংলাদেশ', 'বাংলা\u200cদেশ', 'মুর্শিদাবাদের', 'মাজদিয়া']
['ব্যাংকক', 'ব্যাংককের', 'মিনস্ক', 'মিনস্কে', 'ব্যাংকককে', 'ব্যাংককভিত্তিক', 'মিনুসিনস্ক', 'মিন্\u200cস্ক', 'ব্যাংককে', 'মিশর']
['বেইজিং', 'বেইজিংয়ের', 'বেইজিংয়ের', 'বেইজিংয়ে', 'বেইজিংয়ে', 'মিশর', 'মিশিং', 'বেইজিংভিত্তিক', 'ব্রিসবেনের', 'বেইজিংকে']
['বার্লিনের', 'বার্লিন', 'বার্লিনবাসী', 'বার্লিনেই', 'বার্লিনে', 'মিশর', 'ব্রিসবেনের', 'বার্লি', 'বার্লিনকে', 'ব্রিসবন']
['বার্ণিশ', 'বার্নিশ', 'বর্মিজ', 'বার্মান', 'মিশর', 'বার্ন', 'বার্ণিশের', 'বার্মিজ', 'মিশ্রের', 'বার্নিজ']
['অস্ট্রেলিয়া', 'অস্ট্রেলিয়াই', 'অস্ট্রিয়া', 'অস্ট্রেলিয়াও', 'অস্ট্রেলিয়াও', 'অষ্ট্রেলিয়া', 'অস্ট্রেলিয়', 'অস্ট্রেলিয়া', 'অস্ট্রেলেশিয়া', 'অস্ট্রেলিয়ারই']
['অস্ট্রেলিয়া', 'অস্ট্রেলিয়ার', 'অস্ট্রেলিয়াও', 'অস্ট্রেলিয়াও', 'অস্ট্রেলিয়া', 'অষ্ট্রেলিয়া', 'অস্ট্রেলেশিয়া', 'অস্ট্রেলেশিয়া', 'অস্ট্রেলিয়ায়', 'অস্ট্রিয়া']
['হেলসিঙ্কি', 'হেলসিংকি', 'অস্ট্রেলিয়া', 'অস্ট্রেলিয়াও', 'অস্ট্রেলেশিয়া', 'হেলসিংকিতে', 'অক্সিলিয়ারি', 'অষ্ট্রেলিয়ার', 'হেলসিঙ্কির', 'হেলসিংকির']
['অস্ট্রেলিয়া', 'অস্ট্রেলিয়াও', 'ইসলামাবাদ', 'অস্ট্রেলিয়ার', 'অস্ট্রেলিয়াকে', 'অস্ট্রেলিয়াও', 'অস্ট্রেলেশিয়া', 'ইসলামাবাদকে', 'ইসমাইলিয়া', 'এসিল্যান্ড']
['অস্ট্রেলিয়া', 'অস্ট্রেলিয়ার', 'অস্ট্রেলিয়াও', 'অস্ট্রেলিয়াকে', 'অস্ট্রেলিয়ায়', 'অ্যালিল', 'অলিউল', 'অস্ট্রেলিয়ায়', 'অ্যালাইল', 'অস্ট্রেলিয়াই']
['অস্ট্রেলিয়া', 'অষ্ট্রেলিয়া', 'অস্ট্রেলিয়া', 'অস্ট্রেলিয়াও', 'অস্ট্রেলিয়াও', 'অস্ট্রেলিয়ার', 'অস্ট্রেলিয়ারই', 'অস্ট্রেলিয়াই', 'লন্ডন', 'অস্ট্রেলিয়ারও']
['অস্ট্রেলিয়া', 'অস্ট্রেলিয়ার', 'অস্ট্রেলিয়াও', 'মাদ্রিদ', 'মাদ্রিদই', 'অস্ট্রেলিয়ায়', 'অস্ট্রিয়া', 'অষ্ট্রেলিয়া', 'অস্ট্রেলিয়াকে', 'মাদ্রিদও']
['অস্ট্রেলিয়াও', 'অস্ট্রেলিয়া', 'মস্কো', 'মস্কোয়', 'মস্কোয়', 'অস্ট্রেলিয়াকে', 'অস্ট্রেলিয়ার', 'মস্কোতে', 'অস্ট্রেলিয়ায়', 'অস্ট্রেলেশিয়া']
['অস্ট্রেলিয়া', 'অস্ট্রেলিয়াও', 'অসলো', 'অস্ট্রেলিয়ার', 'অ্যাসলে', 'অস্ট্রেলিয়াকে', 'অস্ট্রেলিয়াও', 'অস্ট্রেলিয়াই', 'অস্ট্রলিয়ার', 'অস্ট্রেলিয়ায়']
['অস্ট্রেলিয়াও', 'অস্ট্রেলিয়া', 'অটোয়া', 'অটোয়া', 'অস্ট্রেলিয়ার', 'অস্ট্রেলিয়াকে', 'অস্ট্রেলিয়াও', 'অস্ট্রেলিয়ায়', 'অস্ট্রিয়া', 'ওসেটিয়া']
