['অলীক', 'ভক্ষ্য', 'অলঙ্কৃতা', 'উল্লুক', 'ভবিষ্য', 'ভবিষ্যৎ', 'উল্লেখজনক', 'ভবপ্রীতানন্দ', 'অভেদ্য', 'ফলশ্রুতি']
['ঘৃণা', 'ঘৃণার', 'বিকর্ষণ', 'ঘৃনা', 'ঘৃণায়', 'ঘৃণাকে', 'ঘৃণানির্ভর', 'ঘৃণাবোধ', 'ঘৃণাও', 'ঘৃণায়']
['বিকর্ষণ', 'গোপন', 'গোপনের', 'পরিবর্তি', 'বিন্যাসের', 'বিমর্ষ', 'বিরোদ্ধে', 'বিরলতার', 'বিরোধিতা', 'বিবাদি']
['বিকর্ষণ', 'বিষ্ঠার', 'বিরুপ', 'গুপ্তছড়া', 'ভাঙ্গুড়া', 'বিন্যাসের', 'শেওড়াপাড়া', 'বিক্রান্তের', 'শিঙাড়া', 'বিশৃংখলার']
['বিকর্ষণ', 'ব্যবর্তন', 'পূনর্গঠন', 'গ্রহণ', 'বিকর্ষণের', 'বদলাবেন', 'বিরলতার', 'পরিবর্তি', 'পরিবর্ধন', 'সর্বনাশ']
['গ্রাম্য', 'বিকর্ষণ', 'গ্রামছাড়া', 'গ্রমের', 'গ্রাবরেখা', 'গ্রিমের', 'ক্রমজোড়ের', 'গ্রান্দের', 'গ্রান্দে', 'বর্মযান']
['বিকর্ষণ', 'বদলাবেন', 'বদলালে', 'বদলিয়ে', 'বদলান', 'বদলাবে', 'বিমূর্তন', 'غَيْرُ', 'বদলানোর', 'ছড়ানোর']
['জন্ম', 'জন্মসনদ', 'জন্মাত', 'জন্মাবার', 'জন্মের', 'জন্মায়', 'জন্মদান', 'জন্মগ্রহন', 'জন্মে', 'জন্মু']
['জরিমানা', 'জরিমানার', 'জরিমানাসহ', 'বিরলতার', 'বিকর্ষণ', 'পরিবর্তি', 'নিষাদের', 'ক্ষতিপূরণের', 'পরিশোধনের', 'পরিশোধন']
['জলে', 'বিকর্ষণ', 'জলেতে', 'জমালেন', 'জলঢাকা', 'জলছাপ', 'জলাবন', 'বিকর্ষণের', 'জলজ', 'জলছত্র']
['জোয়ার', 'বিকর্ষণ', 'জোয়ার', 'জোয়ার্দার', 'জোয়ারের', 'জোয়ারে', 'জামুকার', 'জোগাবেন', 'বিমর্ষ', 'জোয়ারের']
['বিকর্ষণ', 'দুর্লভ', 'বিরলতম', 'বিমর্ষ', 'বিরলতার', 'পার্থক্যটুকু', 'দ্বিস্বরধ্বনি', 'বিরাগ', 'পরিবর্তি', 'বিরাম']
['বিকর্ষণ', 'তিরস্কার', 'তিরস্কারের', 'বিঘ্নতা', 'বিঘ্নের', 'বিষ্ঠার', 'বিশৃংখলার', 'বিরুপ', 'বিরলতার', 'বিন্যাসের']
['বিকর্ষণ', 'বিন্যাসের', 'বিরোধে', 'মুছতে', 'ব্ঝেদ', 'বিকর্ষণের', 'পরিবর্তি', 'বিরুপ', 'বিন্যাস', 'বিকলতা']
['দিবা', 'দিবি', 'দিবালা', 'দিবালার', 'দিত', 'দিলা', 'দিব্যা', 'বিকর্ষণ', 'দিবাবা', 'দিব্যি']
['দিবস', 'দিবর', 'দিবসের', 'দিবাগত', 'দিবসকে', 'দিনভর', 'দিবার', 'দিবসসমূহ', 'দিন', 'দিবাকরের']
['দীর্ঘায়ু', 'দীর্ঘপথ', 'দীর্ঘক্ষণ', 'দীর্ঘায়ন', 'দীর্ঘায়ু', 'বিকর্ষণ', 'দীর্ঘায়িত', 'দীর্ঘলম্ফে', 'দীর্ঘদেহের', 'দীর্ঘক্ষন']
['বিকর্ষণ', 'দূর', 'বিকিরণের', 'বিরলতার', 'দূরবর্তি', 'বিমূর্তন', 'বিকিরণে', 'বিরাগ', 'দূরেও', 'মুছতে']
['দেনা', 'দাওনা', 'দেওন', 'দিবানি', 'দিলা', 'বিকর্ষণ', 'দেরা', 'দিনি', 'দিতেন', 'দেওয়ায়']
['নিঃশ্বাস', 'নিঃশ্বাসে', 'নিঃশ্বাসের', 'শ্বাসের', 'শ্বাস', 'শ্বাসন', 'শ্বাসরোধে', 'বিকর্ষণ', 'বিরুপ', 'শ্বাসরোধের']
['নির্দিষ্ট', 'বিকর্ষণ', 'দ্বিকক্ষবিশিষ্ট', 'বৈশিষ্টগত', 'নির্দিষ্টতা', 'পাল্টিয়ে', 'বৈশিষ্ট্য', 'বিশিষ্ট', 'বদলিয়ে', 'তারবিশিষ্ট']
['ন্যায়', 'সর্বনাশ', 'বিন্যাসকে', 'ন্যাপথা', 'ন্যাপের', 'ব্যবর্তন', 'ন্যাশ', 'ন্যাড়া', 'বিন্যাসে', 'বিন্যাসের']
['পূর্ণাংগ', 'বিকর্ষণ', 'পূর্ণিমার', 'পূর্ণার', 'পূর্ণের', 'পূর্ণতর', 'পূর্ণচ্যুতি', 'পূর্ণাঙ্গ', 'পূর্ণা', 'পূর্ণিমা']
['বিকর্ষণ', 'পরিবর্তি', 'প্রসারণের', 'প্রসারণ', 'পরিবর্ধন', 'পূনর্গঠন', 'বদলান', 'বদলাবেন', 'বদলানোর', 'ব্যবর্তন']
['বক্তা', 'বিকর্ষণ', 'বক্রতা', 'বদলেয়ার', 'বক্রতার', 'বদলাবেন', 'বক্রের', 'বক্তাবলী', 'বদলানোর', 'বদলান']
['প্রারম্ভ', 'বিকর্ষণ', 'প্রারাম্ভ', 'প্রারম্ভের', 'প্রভেদ', 'পূনর্গঠন', 'প্রসেনজিত', 'প্রারম্ভে', 'পরির্বতন', 'ব্যবর্তন']
['ভূমিকা', 'ভূমিকায়', 'ভূমিকাকে', 'ভূমিকাও', 'বিকর্ষণ', 'ভূমিকায়', 'ভুমিকা', 'ভূমিকার', 'ভূমিকাই', 'ভূমিকাতে']
['বিকর্ষণ', 'মৌখিক', 'বিক্রমশীলা', 'সংষ্কৃতি', 'পরিবর্তি', 'সংষ্কৃতির', 'বিন্যাসের', 'বৈকুণ্ঠের', 'বৈজয়ন্তীমালার', 'বৈজয়ন্তীমালা']
['দূরে', 'দূরের', 'দূরেই', 'দূরেও', 'দূরবর্তি', 'দূর', 'দূরই', 'দূরহ', 'বিকর্ষণ', 'দূরত্বেই']
['ভিতরে', 'ভিতরের', 'ভিতরেই', 'ভেতরে', 'ভিতর', 'ভেতরের', 'ভিতরগড়', 'ভেতরেই', 'ভেতরই', 'ভিতরেও']
['আলো', 'বাতিসা', 'বিকর্ষণ', 'বিকিরণ', 'জানাল', 'বজ্রপাণি', 'আলোর', 'জবরদস্ত', 'বাতিকের', 'আলোটা']
['অনেক', 'অনেকগুণ', 'অনেকর', 'অনেকাংশ', 'বিকর্ষণ', 'বহুলাংশ', 'অনেকটা', 'বিগত', 'অনেকটুকু', 'অনেকটাই']
['ডান', 'ডানা', 'ডানাই', 'বিকর্ষণ', 'ডানার', 'বদলান', 'ডানাং', 'আরুন', 'ডউন', 'ডজ']
['তরুণ', 'তরুণই', 'তরুণের', 'তরুণতম', 'তারুণ্যকে', 'বিকর্ষণ', 'পরিবর্তি', 'যুবদলে', 'তরুণাস্থির', 'তরুণকে']
['অতীত', 'অতীব', 'অতীবাহিত', 'অতীতকে', 'অতীতের', 'সাবেক', 'অতীন', 'প্রথাগত', 'এতদ্ব্যতীত', 'অগপর']
['অলীক', 'লালজসেক', 'অলঙ্করণ', 'মঙ্গলিক', 'কমলশীল', 'লাজুক', 'অলমের', 'লায়েক', 'অভিলাষী', 'লাখখানেক']
['আকর্ষণ', 'আকর্ষণস্থল', 'আকর্ষনের', 'আকর্ষণকে', 'আকর্ষণী', 'আকর্ষণের', 'আকর্ষক', 'আকর্ষণে', 'আকর্ষন', 'আকর্ষণই']
['আজ', 'আজকে', 'আজকের', 'এদিন', 'আজই', 'আজকেও', 'আজকালের', 'আজকাল', 'আইদিন', 'বর্তমানকাল']
['আদি', 'আদী', 'আদমি', 'আদা', 'আদমজী', 'আদব', 'অ্যাওয়ে', 'আধি', 'আদমজি', 'ইদি']
['আবশ্যক', 'আবশ্যিক', 'কশ্যপের', 'বোধহয়', 'প্রস্থান', 'নিশ্চিন্তপুর', 'কশ্যপ', 'অত্যাবশ্যক', 'পরোয়া', 'শ্রেষ্ঠা']
['আরোহন', 'ভবানন্দ', 'প্রস্থানাম', 'রামধেনু', 'প্রস্থান', 'রাজন্য', 'আরোহনের', 'পুণ্যবান', 'অস্থাবর', 'অণুষ্ঠান']
['আলো', 'জ্বলত', 'উজ্জ্বলা', 'বাতিসা', 'আকাবাদ', 'উজ্জ্বলের', 'জ্বলন', 'পরিশুদ্ধির', 'বাতিক', 'আলোর']
['আশীর্বাদ', 'আশীর্বাদের', 'আশীর্বাদধন্য', 'আশীর্বাদস্বরূপ', 'প্রশংসায়', 'প্রশংসায়', 'আশীর্বাদে', 'প্রভবানন্দের', 'আশীর্বাদপুষ্ট', 'প্রশংসাই']
['ইচ্ছুক', 'ইচ্ছাপত্র', 'ইচ্ছাশক্তি', 'ইচ্ছার', 'প্রস্থানাম', 'পুষ্টিসম্মত', 'ইচ্ছাশক্তির', 'রাজন্য', 'প্রস্থান', 'প্রযত্ন']
['ইহকাল', 'জমকাল', 'পুরাণের', 'সমকাল', 'বাল্যকাল', 'প্রতিমান', 'বয়শে', 'মেয়াদকাল', 'বয়সজনিত', 'জাঁকাল']
['উত্তর', 'উত্তরও', 'উত্তরই', 'উত্তরটা', 'উত্তরেও', 'উত্তরখান', 'উত্তরগুলো', 'উত্তির্ন', 'উত্তরকাণ্ড', 'উত্তরটি']
['', '', '', '', '', '', '', '', '', '']
['উত্থান', 'উত্থানের', 'উঠিয়া', 'উদ্বর্তন', 'প্রস্থান', 'উত্থানকে', 'উত্তোলন', 'পুনঃরায়', 'পুনাখা', 'উদ্ভট']
['উদয়', 'ভাসিয়ে', 'উদয়ন', 'জমায়েত', 'উদয়ের', 'প্রস্থানাম', 'শিবায়', 'প্রস্থান', 'কবলা', 'জমাতেন']
